Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Male,Female,Unknown,Total
Nissan,Prairie,21.407,4.5,72.0,1974.0,petrol,11029,4508,526,16063
Toyota,Previa,43.08,4.666666667,105.0,2239.666667,petrol,10835,4049,894,15778
Peugeot,305,12.61125,4.5,56.25,1607.25,petrol,11371,3458,462,15291
Subaru,Legacy,37.52210345,3.896551724,107.3793103,2084.37931,petrol,9897,3499,1143,14539
Peugeot,505,20.65665217,4.956521739,67.0,2234.26087,petrol,10642,3110,728,14480
Daewoo,Espero,16.80266667,4.5,71.0,1764.0,petrol,11332,2416,363,14111
Renault,9,11.49625,4.75,50.25,1507.5,petrol,8889,4607,373,13869
Volvo,S40,35.28132353,5.176470588,113.3529412,2106.5,petrol,9733,2545,678,12956
Audi,Coupe,35.86943902,5.585365854,117.0243902,1980.634146,petrol,10455,2032,418,12905
Seat,Toledo,20.37,5.642857143,74.21428571,1324.357143,petrol,9894,2458,324,12676
Ford,Probe,24.84,5.0,102.0,2244.0,petrol,9313,2933,384,12630
Ford,Maverick,29.151,5.0,89.0,2526.5,petrol,8845,3050,378,12273
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,9299,2513,430,12242
Nissan,Serena,22.95383333,5.0,67.33333333,1908.166667,petrol,7783,3433,494,11710
Volvo,V40,35.81481651,6.293577982,117.4311927,1921.46789,petrol,7968,3027,692,11687
Subaru,Justy,11.745,5.0,51.0,998.0,petrol,4961,5864,779,11604
Land-Rover,Freelander,43.86363077,5.292307692,105.1692308,2083.523077,diesel,7312,3584,612,11508
Citroen,Xsara,22.36209302,4.88372093,72.58139535,1743.44186,petrol,7498,3583,413,11494
Daewoo,Lanos,13.24516667,4.833333333,66.66666667,1506.5,petrol,6953,4097,426,11476
Suzuki,SJ,8.4656,4.6,41.4,1182.4,petrol,6702,4330,361,11393
